time,coherence,firing_rate
-80,0.0,33.1899674031
-80,3.2,31.6917255152
-80,6.4,34.2798399644
-80,12.8,32.6318742985
-80,25.6,35.0604874577
-80,51.2,34.9875710227
-60,0.0,32.8685258964
-60,3.2,35.119047619
-60,6.4,34.8410757946
-60,12.8,35.6481481481
-60,25.6,33.6105675147
-60,51.2,34.27734375
-40,0.0,34.561752988
-40,3.2,34.8958333333
-40,6.4,34.9633251834
-40,12.8,36.4711934156
-40,25.6,32.5342465753
-40,51.2,35.009765625
-20,0.0,35.3585657371
-20,3.2,31.1011904762
-20,6.4,35.5134474328
-20,12.8,34.5164609053
-20,25.6,34.7847358121
-20,51.2,36.669921875
0,0.0,36.2549800797
0,3.2,32.3660714286
0,6.4,36.9193154034
0,12.8,35.6995884774
0,25.6,35.8610567515
0,51.2,37.060546875
20,0.0,38.4960159363
20,3.2,33.4821428571
20,6.4,36.1858190709
20,12.8,36.0082304527
20,25.6,34.8825831703
20,51.2,35.888671875
40,0.0,36.2051792829
40,3.2,34.375
40,6.4,36.7970660147
40,12.8,35.3909465021
40,25.6,36.9863013699
40,51.2,36.279296875
60,0.0,34.7609561753
60,3.2,34.6726190476
60,6.4,38.2029339853
60,12.8,35.6481481481
60,25.6,38.0136986301
60,51.2,37.79296875
80,0.0,36.5537848606
80,3.2,32.3660714286
80,6.4,35.5745721271
80,12.8,33.7448559671
80,25.6,35.5675146771
80,51.2,37.353515625
100,0.0,33.515936255
100,3.2,31.5476190476
100,6.4,33.0073349633
100,12.8,32.2666032773
100,25.6,32.28962818
100,51.2,35.25390625
120,0.0,31.6733067729
120,3.2,30.8779761905
120,6.4,31.9682151589
120,12.8,32.7986405205
120,25.6,29.6966731898
120,51.2,33.349609375
140,0.0,32.1215139442
140,3.2,30.0970758473
140,6.4,31.173594132
140,12.8,31.1927760396
140,25.6,29.3052837573
140,51.2,31.3593367034
160,0.0,34.4621513944
160,3.2,33.0191183554
160,6.4,33.6797066015
160,12.8,31.9922938189
160,25.6,33.0684130789
160,51.2,31.4144049073
180,0.0,37.5857760456
180,3.2,39.206226297
180,6.4,38.4799298148
180,12.8,38.2790725256
180,25.6,38.0283572714
180,51.2,35.2981969562
200,0.0,41.3876308811
200,3.2,43.0009045681
200,6.4,42.8315775134
200,12.8,44.1881669593
200,25.6,43.2053130261
200,51.2,44.0021276055
220,0.0,45.2145741795
220,3.2,44.0531572195
220,6.4,44.5503067614
220,12.8,46.0072153238
220,25.6,46.6656178604
220,51.2,49.4455590075
240,0.0,44.426667193
240,3.2,45.5579976408
240,6.4,45.3353150482
240,12.8,45.2545114631
240,25.6,48.057998072
240,51.2,52.8138549965
260,0.0,43.5176761377
260,3.2,46.4806723604
260,6.4,45.975678826
260,12.8,45.978011874
260,25.6,51.49830443
260,51.2,56.0062634769
280,0.0,45.183845031
